monoacylglycerophosphates [GP1005]	LION:0000072
lipid classification	sphingolipids [SP]
sphingolipids [SP]	other sphingolipids [SP00]
other sphingolipids [SP00]	LION:0000075
sphingolipids [SP]	sphingoid bases [SP01]
sphingoid bases [SP01]	LION:0000076
sphingolipids [SP]	ceramides [SP02]
ceramides [SP02]	N-acylsphingosines (ceramides) [SP0201]
N-acylsphingosines (ceramides) [SP0201]	LION:0012441
ceramides [SP02]	N-acylsphinganines (dihydroceramides) [SP0202]
N-acylsphinganines (dihydroceramides) [SP0202]	LION:0012443
ceramides [SP02]	N-acyl-4-hydroxysphinganines (phytoceramides) [SP0203]
N-acyl-4-hydroxysphinganines (phytoceramides) [SP0203]	LION:0012444
ceramides [SP02]	Acylceramides [SP0204]
Acylceramides [SP0204]	LION:0012445
ceramides [SP02]	Ceramide 1-phosphates [SP0205]
Ceramide 1-phosphates [SP0205]	LION:0012446
sphingolipids [SP]	phosphosphingolipids [SP03]
phosphosphingolipids [SP03]	ceramide phosphocholines (sphingomyelins) [SP0301]
ceramide phosphocholines (sphingomyelins) [SP0301]	LION:0000084
phosphosphingolipids [SP03]	ceramide phosphoethanolamines [SP0302]
ceramide phosphoethanolamines [SP0302]	LION:0000085
phosphosphingolipids [SP03]	ceramide phosphoinositols [SP0303]
ceramide phosphoinositols [SP0303]	LION:0000086
sphingolipids [SP]	phosphonosphingolipids [SP04]
phosphonosphingolipids [SP04]	LION:0000079
sphingolipids [SP]	neutral glycosphingolipids [SP05]
neutral glycosphingolipids [SP05]	other neutral glycosphingolipids [SP0500]
other neutral glycosphingolipids [SP0500]	LION:0000452
neutral glycosphingolipids [SP05]	simple glc series [SP0501]
simple glc series [SP0501]	hexosylceramides
hexosylceramides	LION:0012017
simple glc series [SP0501]	dihexosylceramides
dihexosylceramides	LION:0012018
neutral glycosphingolipids [SP05]	galnacbeta1-3galalpha1-4galbeta1-4glc- (globo series) [SP0502]
galnacbeta1-3galalpha1-4galbeta1-4glc- (globo series) [SP0502]	LION:0000454
neutral glycosphingolipids [SP05]	galnacbeta1-4galbeta1-4glc- (ganglio series) [SP0503]
galnacbeta1-4galbeta1-4glc- (ganglio series) [SP0503]	LION:0000455
neutral glycosphingolipids [SP05]	galbeta1-3glcnacbeta1-3galbeta1-4glc- (lacto series) [SP0504]
galbeta1-3glcnacbeta1-3galbeta1-4glc- (lacto series) [SP0504]	LION:0000456
neutral glycosphingolipids [SP05]	galbeta1-4glcnacbeta1-3galbeta1-4glc- (neolacto series) [SP0505]
galbeta1-4glcnacbeta1-3galbeta1-4glc- (neolacto series) [SP0505]	LION:0000457
neutral glycosphingolipids [SP05]	galnacbeta1-3galalpha1-3galbeta1-4glc- (isoglobo series) [SP0506]
galnacbeta1-3galalpha1-3galbeta1-4glc- (isoglobo series) [SP0506]	LION:0000458
neutral glycosphingolipids [SP05]	glcnacbeta1-2manalpha1-3manbeta1-4glc- (mollu series) [SP0507]
glcnacbeta1-2manalpha1-3manbeta1-4glc- (mollu series) [SP0507]	LION:0000459
neutral glycosphingolipids [SP05]	galnacbeta1-4glcnacbeta1-3manbeta1-4glc- (arthro series) [SP0508]
galnacbeta1-4glcnacbeta1-3manbeta1-4glc- (arthro series) [SP0508]	LION:0000460
neutral glycosphingolipids [SP05]	gal- (gala series) [SP0509]
gal- (gala series) [SP0509]	LION:0000461
sphingolipids [SP]	acidic glycosphingolipids [SP06]
acidic glycosphingolipids [SP06]	gangliosides [SP0601]
gangliosides [SP0601]	LION:0000087
acidic glycosphingolipids [SP06]	sulfoglycosphingolipids (sulfatides) [SP0602]
sulfoglycosphingolipids (sulfatides) [SP0602]	LION:0000088
acidic glycosphingolipids [SP06]	glucuronosphingolipids [SP0603]
glucuronosphingolipids [SP0603]	LION:0000089
acidic glycosphingolipids [SP06]	phosphoglycosphingolipids [SP0604]
phosphoglycosphingolipids [SP0604]	LION:0000090
sphingolipids [SP]	basic glycosphingolipids [SP07]
basic glycosphingolipids [SP07]	LION:0000082
sphingolipids [SP]	amphoteric glycosphingolipids [SP08]
amphoteric glycosphingolipids [SP08]	LION:0000083
lipid classification	sterol lipids [ST]
sterol lipids [ST]	other sterol lipids [ST00]
other sterol lipids [ST00]	LION:0000556
sterol lipids [ST]	sterols [ST01]
sterols [ST01]	cholesterol and derivatives [ST0101]
cholesterol and derivatives [ST0101]	cholesterol
cholesterol	LION:0000541
cholesterol and derivatives [ST0101]	cholestenone
cholestenone	LION:0000553
cholesterol and derivatives [ST0101]	oxysterol
oxysterol	LION:0000600
sterols [ST01]	steryl esters [ST0102]
steryl esters [ST0102]	LION:0000563
sterols [ST01]	ergosterols and c24-methyl derivatives [ST0103]
ergosterols and c24-methyl derivatives [ST0103]	LION:0000564
sterols [ST01]	stigmasterols and c24-ethyl derivatives [ST0104]
stigmasterols and c24-ethyl derivatives [ST0104]	LION:0000565
sterols [ST01]	c24-propyl sterols and derivatives [ST0105]
c24-propyl sterols and derivatives [ST0105]	LION:0000566
sterols [ST01]	gorgosterols and derivatives [ST0106]
gorgosterols and derivatives [ST0106]	LION:0000567
sterols [ST01]	furostanols and derivatives [ST0107]
furostanols and derivatives [ST0107]	LION:0000568
sterols [ST01]	spirostanols and derivatives [ST0108]
spirostanols and derivatives [ST0108]	LION:0000569
sterols [ST01]	furospirostanols and derivatives [ST0109]
furospirostanols and derivatives [ST0109]	LION:0000570
sterols [ST01]	cycloartanols and derivatives [ST0110]
cycloartanols and derivatives [ST0110]	LION:0000571
sterols [ST01]	calysterols and cyclopropyl sidechain derivatives [ST0111]
calysterols and cyclopropyl sidechain derivatives [ST0111]	LION:0000572
sterols [ST01]	cardanolides and derivatives [ST0112]
cardanolides and derivatives [ST0112]	LION:0000573
sterols [ST01]	bufanolides and derivatives [ST0113]
bufanolides and derivatives [ST0113]	LION:0000574
sterols [ST01]	brassinolides and derivatives [ST0114]
brassinolides and derivatives [ST0114]	LION:0000575
sterols [ST01]	solanidines and alkaloid derivatives [ST0115]
solanidines and alkaloid derivatives [ST0115]	LION:0000576
sterols [ST01]	withanolides and derivatives [ST0116]
withanolides and derivatives [ST0116]	LION:0000577
sterol lipids [ST]	steroids [ST02]
steroids [ST02]	LION:0000558
sterol lipids [ST]	secosteroids [ST03]
secosteroids [ST03]	LION:0000559
sterol lipids [ST]	bile acids and derivatives [ST04]
bile acids and derivatives [ST04]	LION:0000560
sterol lipids [ST]	steroid conjugates [ST05]
steroid conjugates [ST05]	LION:0000561
lipid classification	prenol lipids [PR]
prenol lipids [PR]	isoprenoids [PR01]
isoprenoids [PR01]	C5 isoprenoids (hemiterpenes) [PR0101]
C5 isoprenoids (hemiterpenes) [PR0101]	LION:0012013
